movie_id;imdb_id;title;description;directors;writers;stars;runtime;budget;gross
1639;0118842;Chasing Amy (1997);Chasing Amy: Directed by Kevin Smith. With Ethan Suplee, Ben Affleck, Scott Mosier, Jason Lee. Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.;Kevin Smith;;Ben Affleck, Joey Lauren Adams, Ethan Suplee;1 hour 53 minutes;$250,000 (estimated);$12,021,272
1641;0119164;The Full Monty (1997);The Full Monty: Directed by Peter Cattaneo. With Robert Carlyle, Mark Addy, Wim Snape, Steve Huison. Six unemployed steel workers form a male striptease act. The women cheer them on to go for "the full monty" - total nudity.;Peter Cattaneo;;Robert Carlyle, Tom Wilkinson, Mark Addy;1 hour 31 minutes;$3,500,000 (estimated);$257,938,649
1642;0116631;Indian Summer (1996);Indian Summer: Directed by Nancy Meckler. With Jason Flemyng, Antony Sher, Dorothy Tutin, Anthony Higgins. A passionately committed young dancer is forced to re-examine his career and life when faced with death, finding hope through an older man who becomes his lover, mentor and companion.;Nancy Meckler;;Jason Flemyng, Antony Sher, Dorothy Tutin;1 hour 38 minutes;Unknown Budget;Unknown Cumulative Worldwide Gross
1643;0119280;Mrs Brown (1997);Mrs Brown: Directed by John Madden. With Judi Dench, Billy Connolly, Geoffrey Palmer, Antony Sher. When Queen Victoria's husband Prince Albert dies, she finds solace in her trusted servant, Mr. John Brown, but their relationship also brings scandal and turmoil.;John Madden;;Judi Dench, Billy Connolly, Geoffrey Palmer;1 hour 41 minutes;Unknown Budget;$9,229,808
1644;0119345;O'tgan yozda nima qilganingizni bilaman (1997);O'tgan yozda nima qilganingizni bilaman: Directed by Jim Gillespie. With Jennifer Love Hewitt, Sarah Michelle Gellar, Ryan Phillippe, Freddie Prinze Jr.. Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.;Jim Gillespie;;Jennifer Love Hewitt, Sarah Michelle Gellar, Anne Heche;1 hour 41 minutes;$17,000,000 (estimated);$125,586,134
1645;0118971;Iblisning advokati (1997);Iblisning advokati: Directed by Taylor Hackford. With Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones. An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.;Taylor Hackford;;Keanu Reeves, Al Pacino, Charlize Theron;2 hours 24 minutes;$57,000,000 (estimated);$152,944,660
1646;0120029;RocketMan (1997);RocketMan: Directed by Stuart Gillard. With Harland Williams, Jessica Lundy, William Sadler, Jeffrey DeMunn. Fred Z. Randall is a geeky spacecraft designer who gets the chance to make his dream come true and travel to Mars.;Stuart Gillard;Oren Aviv, Craig Mazin, Greg Erb;Harland Williams, Jessica Lundy, William Sadler;1 hour 35 minutes;$16,000,000 (estimated);$15,448,043
1647;0119906;Playing God (1997);Playing God: Directed by Andy Wilson. With David Duchovny, Timothy Hutton, Angelina Jolie, Michael Massee. A disgraced surgeon leaves his former life and reinvents himself as a gunshot doctor in the criminal underworld.;Andy Wilson;;David Duchovny, Timothy Hutton, Angelina Jolie;1 hour 34 minutes;$12,000,000 (estimated);$4,166,918
1648;0119324;The House of Yes (1997);The House of Yes: Directed by Mark Waters. With Parker Posey, Josh Hamilton, Tori Spelling, Freddie Prinze Jr.. A mentally unbalanced young woman - who is convinced she is Jackie Kennedy - flies into a murderous rage when her brother returns home to reveal he is engaged.;Mark Waters;;Parker Posey, Josh Hamilton, Tori Spelling;1 hour 25 minutes;$1,500,000 (estimated);$626,057
1649;0119107;Fast, Cheap & Out of Control (1997);Fast, Cheap & Out of Control: Directed by Errol Morris. With Dave Hoover, George Mendonça, Raymond A. Mendez, Rodney Brooks. An exploration of the careers of four unrelated professionals: a lion tamer, a robotics expert, a topiary gardener, and a naked mole rat specialist.;Errol Morris;;Dave Hoover, George Mendonça, Rodney Brooks;1 hour 20 minutes;Unknown Budget;$878,960
1650;0120481;Washington Square (1997);Washington Square: Directed by Agnieszka Holland. With Jennifer Jason Leigh, Albert Finney, Maggie Smith, Ben Chaplin. In this adaptation of the Henry James novel set in 19th-century New York City, a wealthy spinster with an overbearing father is pursued by a handsome fortune hunter who may be only after her money.;Agnieszka Holland;;Jennifer Jason Leigh, Albert Finney, Maggie Smith;1 hour 55 minutes;Unknown Budget;$1,851,761
1652;0120539;Year of the Horse (1997);Year of the Horse: Directed by Jim Jarmusch. With Ralph Molina, Frank 'Pancho' Sampedro, Billy Talbot, Neil Young. This film documents Neil Young and Crazy Horse's 1996 concert tour. Jim Jarmusch interviews the band about their long history, and we see backstage footage from the 1970s and 1980s.;Jim Jarmusch;;Neil Young, Jim Jarmusch, Ralph Molina;1 hour 46 minutes;Unknown Budget;Unknown Cumulative Worldwide Gross
1653;0119177;Gattaca (1997);Gattaca: Directed by Andrew Niccol. With Ethan Hawke, Uma Thurman, Gore Vidal, Xander Berkeley. Vincent, an "In-Valid", assumes the identity of a member of the genetic elite to pursue his goal of traveling into space with the Gattaca Aerospace Corporation. However, a week before his mission, a murder marks Vincent as a suspect.;Andrew Niccol;;Ethan Hawke, Uma Thurman, Jude Law;1 hour 46 minutes;$36,000,000 (estimated);$12,533,963
1654;0119095;FairyTale: A True Story (1997);FairyTale: A True Story: Directed by Charles Sturridge. With Harvey Keitel, Jason Salkey, Peter O'Toole, Lara Morgan. In 1917, two children take a photograph, which is soon believed by some to be the first scientific evidence of the existence of fairies.;Charles Sturridge;Albert Ash, Tom McLoughlin, Ernie Contreras;Paul McGann, Florence Hoath, Elizabeth Earl;1 hour 39 minutes;Unknown Budget;$14,059,077
1655;0119891;Phantoms (1998);Phantoms: Directed by Joe Chappelle. With Peter O'Toole, Rose McGowan, Joanna Going, Liev Schreiber. In the peaceful town of Snowfield, Colorado something evil has wiped out the community. And now, its up to a group of people to stop it, or at least get out of Snowfield alive.;Joe Chappelle;;Peter O'Toole, Rose McGowan, Joanna Going;1 hour 36 minutes;Unknown Budget;$5,624,282
1656;0120257;Swept from the Sea (1997);Swept from the Sea: Directed by Beeban Kidron. With Rachel Weisz, Vincent Perez, Ian McKellen, Kathy Bates. The story of Russian emigrant Yanko Goorall and servant Amy Foster in the end of nineteenth century. When Yanko enters a farm, sick and hungry after a shipwreck, everyone is afraid of him, except for Amy.;Beeban Kidron;;Rachel Weisz, Vincent Perez, Ian McKellen;1 hour 55 minutes;Unknown Budget;$397,020
1658;0119535;A Life Less Ordinary (1997);A Life Less Ordinary: Directed by Danny Boyle. With Holly Hunter, Delroy Lindo, Dan Hedaya, Cameron Diaz. Upon being fired, a desperate guy kidnaps a daughter of his former boss. Two angels are sent to Earth to check if love is possible in this case.;Danny Boyle;;Cameron Diaz, Ewan McGregor, Holly Hunter;1 hour 43 minutes;$12,000,000 (estimated);$4,366,722
1659;0119338;Hurricane (1997);Hurricane: Directed by Morgan J. Freeman. With Brendan Sexton III, Antoine McLean, Mtume Gant, Carlo Alban. A teenage petty criminal dreams of escaping his increasingly unlawful lifestyle when he meets a sweet girl who hopes to one day travel to Alaska.;Morgan J. Freeman;;Brendan Sexton III, Shawn Elliott, Antoine McLean;1 hour 26 minutes;$500,000 (estimated);$375,634
1660;0119080;Eve's Bayou (1997);Eve's Bayou: Directed by Kasi Lemmons. With Jurnee Smollett, Meagan Good, Samuel L. Jackson, Lynn Whitfield. What did little Eve see--and how will it haunt her? Husband, father and womanizer, Louis Batiste, is the head of an affluent family, but it's the women who rule this gothic world of secrets, lies and mystic forces.;Kasi Lemmons;;Samuel L. Jackson, Jurnee Smollett, Meagan Good;1 hour 48 minutes;$6,000,000 (estimated);$14,842,388
1661;0119210;Switchback (1997);Switchback: Directed by Jeb Stuart. With Claudia Stedelin, Ian Nelson, Brent Hinkley, R. Lee Ermey. An FBI agent tries to catch a serial killer who kidnapped his son.;Jeb Stuart;;Danny Glover, Dennis Quaid, Claudia Stedelin;1 hour 58 minutes;$37,000,000 (estimated);$6,492,660
1662;0118900;Gang Related (1997);Gang Related: Directed by Jim Kouf. With Jim Belushi, Tupac Shakur, Lela Rochon, Dennis Quaid. After murdering an undercover DEA agent, two corrupt cops scramble to cover up what they've done.;Jim Kouf;;Jim Belushi, Tupac Shakur, Lela Rochon;1 hour 56 minutes;Unknown Budget;$5,906,773
1663;0083131;Stripes (1981);Stripes: Directed by Ivan Reitman. With Bill Murray, Harold Ramis, Warren Oates, P.J. Soles. Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.;Ivan Reitman;;Bill Murray, John Candy, Harold Ramis;1 hour 46 minutes;$10,000,000 (estimated);$85,297,000
1665;0118689;Janob Bin (1997);Janob Bin: Directed by Mel Smith. With Rowan Atkinson, Peter MacNicol, John Mills, Pamela Reed. The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.;Mel Smith;Rowan Atkinson, Richard Curtis, Robin Driscoll;Rowan Atkinson, Peter MacNicol, John Mills;1 hour 29 minutes;$18,000,000 (estimated);$251,212,670
1667;0119592;Mad City (1997);Mad City: Directed by Costa-Gavras. With John Travolta, Dustin Hoffman, Mia Kirshner, Alan Alda. A distraught man inadvertently takes a group of children hostage in a museum while a hungry, seasoned reporter tries to resurrect his career covering the story.;Costa-Gavras;Tom Matthews, Eric Williams;John Travolta, Dustin Hoffman, Alan Alda;1 hour 54 minutes;$50,000,000 (estimated);$10,541,523
1670;0120490;Welcome to Sarajevo (1997);Welcome to Sarajevo: Directed by Michael Winterbottom. With Stephen Dillane, Woody Harrelson, Marisa Tomei, Emira Nusevic. American and British journalists Flynn and Michael Henderson, along with their respective news teams, meet at the beginning of the Bosnian war in Sarajevo. During their reports, the group find an orphanage run by the devoted Mrs. Savic near the frontline. Feeling sympathy, Henderson decides to take one of the children, Emira, illegally back to England.;Michael Winterbottom;;Stephen Dillane, Woody Harrelson, Marisa Tomei;1 hour 43 minutes;$9,000,000 (estimated);$334,319
1671;0119527;Deceiver (1997);Deceiver: Directed by Jonas Pate, Josh Pate. With Tim Roth, Chris Penn, Michael Rooker, Renée Zellweger. A hooker is found cut in two. Two cops give polygraph tests to the only suspect, James Wayland (Tim Roth), an unstable genius. After some time, the roles change.;;;Tim Roth, Chris Penn, Michael Rooker;1 hour 46 minutes;Unknown Budget;$572,433
1672;0119978;The Rainmaker (1997);The Rainmaker: Directed by Francis Ford Coppola. With Matt Damon, Danny DeVito, Claire Danes, Jon Voight. A newly minted lawyer who's just passed the bar exam takes on a fraudulent insurance company in a multi-million dollar lawsuit.;Francis Ford Coppola;;Matt Damon, Danny DeVito, Claire Danes;2 hours 15 minutes;$40,000,000 (estimated);$45,916,769
1673;0118749;Boogie Nights (1997);Boogie Nights: Directed by Paul Thomas Anderson. With Luis Guzmán, Burt Reynolds, Julianne Moore, Rico Bueno. An idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.;Paul Thomas Anderson;;Mark Wahlberg, Julianne Moore, Burt Reynolds;2 hours 35 minutes;$15,000,000 (estimated);$43,117,303
1674;0090329;Witness (1985);Witness: Directed by Peter Weir. With Harrison Ford, Kelly McGillis, Josef Sommer, Lukas Haas. While protecting an Amish boy - who is the sole witness to a brutal murder - and his mother, a detective is forced to seek refuge within their community when his own life is threatened.;Peter Weir;William Kelley, Pamela Wallace, Earl W. Wallace;Harrison Ford, Kelly McGillis, Lukas Haas;1 hour 52 minutes;$12,000,000 (estimated);$68,706,993
1675;0119365;Incognito (1997);Incognito: Directed by John Badham. With Jason Patric, Irène Jacob, Thomas Lockyer, Ian Richardson. Harry Donovan is an art forger who paints a fake Rembrandt picture for $500,000. Marieke, the woman he meets in Paris and gets into bed with, turns out to be the art expert whom Harry's clients are using to check the counterfeit picture he painted.;John Badham;;Jason Patric, Irène Jacob, Thomas Lockyer;1 hour 48 minutes;Unknown Budget;Unknown Cumulative Worldwide Gross
1676;0120201;Starship Troopers (1997);Starship Troopers: Directed by Paul Verhoeven. With Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey. Humans, in a fascist militaristic future, wage war with giant alien bugs.;Paul Verhoeven;;Casper Van Dien, Denise Richards, Dina Meyer;2 hours 9 minutes;$105,000,000 (estimated);$121,214,377
1677;0118901;Critical Care (1997);Critical Care: Directed by Sidney Lumet. With James Spader, Kyra Sedgwick, Helen Mirren, Anne Bancroft. A hospital resident is put in the middle of a legal battle between two half-sisters on whether to pull their comatose dad's life support. But more seems to be at stake than dad's life - his inheritance.;Sidney Lumet;;James Spader, Kyra Sedgwick, Helen Mirren;1 hour 47 minutes;$12,000,000 (estimated);$221,193
1678;0107282;The Joy Luck Club (1993);The Joy Luck Club: Directed by Wayne Wang. With Kieu Chinh, Tsai Chin, France Nuyen, Lisa Lu. Four Chinese women along with their mothers delve into their past and try to find answers. Slowly, this search helps them to understand the complex relationship they share with each other.;Wayne Wang;Amy Tan, Ron Bass;Tamlyn Tomita, Rosalind Chao, Kieu Chinh;2 hours 19 minutes;$11,000,000 (estimated);$32,901,136
1679;0118836;Chairman of the Board (1997);Chairman of the Board: Directed by Alex Zamm. With Scott 'Carrot Top' Thompson, Courtney Thorne-Smith, Larry Miller, Raquel Welch. A surfer becomes the head of a major company.;Alex Zamm;Alfredo Septién, Turi Meyer, Alex Zamm;Scott 'Carrot Top' Thompson, Courtney Thorne-Smith, Larry Miller;1 hour 35 minutes;$7,000,000 (estimated);$181,233
1680;0120148;Sliding Doors (1998);Sliding Doors: Directed by Peter Howitt. With Gwyneth Paltrow, John Hannah, John Lynch, Jeanne Tripplehorn. After personal and professional setbacks, a woman experiences an alternate reality.;Peter Howitt;;Gwyneth Paltrow, John Hannah, John Lynch;1 hour 39 minutes;$6,000,000 (estimated);$11,841,544
1681;0119707;Mortal Kombat: Annihilation (1997);Mortal Kombat: Annihilation: Directed by John R. Leonetti. With Robin Shou, Talisa Soto, James Remar, Sandra Hess. A group of martial-arts warriors has only six days to save the Earth from an extra-dimensional invasion.;John R. Leonetti;Ed Boon, Lawrence Kasanoff, Joshua Wexler;Robin Shou, Talisa Soto, James Remar;1 hour 35 minutes;$30,000,000 (estimated);$51,376,861
1682;0120382;Truman tomoshasi (1998);Truman tomoshasi: Directed by Peter Weir. With Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone. An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.;Peter Weir;;Jim Carrey, Ed Harris, Laura Linney;1 hour 43 minutes;$60,000,000 (estimated);$264,118,712
1683;0120520;The Wings of the Dove (1997);The Wings of the Dove: Directed by Iain Softley. With Helena Bonham Carter, Linus Roache, Alex Jennings, Charlotte Rampling. An impoverished woman who has been forced to choose between a privileged life with her wealthy aunt and her journalist lover, befriends an American heiress. When she discovers the heiress is attracted to her own lover and is dying, she sees a chance to have both the privileged life she cannot give up and the lover she cannot live without.;Iain Softley;;Helena Bonham Carter, Linus Roache, Alex Jennings;1 hour 42 minutes;Unknown Budget;$13,692,848
1684;0119723;Mrs Dalloway (1997);Mrs Dalloway: Directed by Marleen Gorris. With Vanessa Redgrave, Natascha McElhone, Michael Kitchen, Alan Cox. In 1923 London, socialite Clarissa Dalloway's well-planned party is overshadowed by the return of an old suitor she had known thirty-three years earlier.;Marleen Gorris;;Vanessa Redgrave, Natascha McElhone, Michael Kitchen;1 hour 37 minutes;Unknown Budget;$3,309,421
1685;0116592;I Love You, I Love You Not (1996);I Love You, I Love You Not: Directed by Billy Hopkins. With Jeanne Moreau, Claire Danes, Jude Law, James Van Der Beek. Prep school student Daisy and her European-born grandmother Nana share the sad stories of their lives. Daisy tells Nana of her romance with young Ethan and problems in school because she's Jewish and Nana tells of her young years under the Nazis when she was sent to a ghetto and then to a concentration camp.;Billy Hopkins;;Jeanne Moreau, Claire Danes, Jude Law;1 hour 28 minutes;Unknown Budget;$20,677
1686;0119994;Red Corner (1997);Red Corner: Directed by Jon Avnet. With Richard Gere, Bai Ling, Bradley Whitford, Byron Mann. An American attorney on business in China is wrongfully arrested and put on trial for murder, with a female defense lawyer from the country the only key to proving his innocence.;Jon Avnet;;Richard Gere, Bai Ling, Bradley Whitford;2 hours 2 minutes;$48,000,000 (estimated);$22,459,274
1687;0119395;Shoqol (1997);Shoqol: Directed by Michael Caton-Jones. With Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora. An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly "faceless" assassin from completing his next job.;Michael Caton-Jones;Kenneth Ross, Chuck Pfarrer;Bruce Willis, Richard Gere, Sidney Poitier;2 hours 4 minutes;$60,000,000 (estimated);$159,330,280
1688;0118617;Anastasiya (1997);Anastasiya: Directed by Don Bluth, Gary Goldman. With Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd. The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.;;Susan Gauthier, Bruce Graham, Bob Tzudiker;Meg Ryan, John Cusack, Christopher Lloyd;1 hour 34 minutes;$50,000,000 (estimated);$139,804,348
1689;0120483;The Man Who Knew Too Little (1997);The Man Who Knew Too Little: Directed by Jon Amiel. With Bill Murray, Peter Gallagher, Joanne Whalley, Alfred Molina. Wallace Ritchie is mistaken for a spy and must stop a plot to assassinate international leaders at a banquet.;Jon Amiel;Robert Farrar, Howard Franklin;Bill Murray, Joanne Whalley, Peter Gallagher;1 hour 34 minutes;$20,000,000 (estimated);$13,717,039
1690;0118583;Alien Resurrection (1997);Alien Resurrection: Directed by Jean-Pierre Jeunet. With Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman. Two centuries after her death, a powerful human/alien hybrid clone of Ellen Ripley aids a crew of space pirates in stopping the aliens from reaching Earth.;Jean-Pierre Jeunet;;Sigourney Weaver, Winona Ryder, Dominique Pinon;1 hour 49 minutes;$75,000,000 (estimated);$161,376,069
1693;0118607;Amistad (1997);Amistad: Directed by Steven Spielberg. With Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou. In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.;Steven Spielberg;;Djimon Hounsou, Matthew McConaughey, Anthony Hopkins;2 hours 35 minutes;$36,000,000 (estimated);$44,229,441
1694;0118632;The Apostle (1997);The Apostle: Directed by Robert Duvall. With Todd Allen, Paul Bagget, Lenore Banks, John Beasley. After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.;Robert Duvall;;Robert Duvall, Todd Allen, Paul Bagget;2 hours 14 minutes;$5,000,000 (estimated);$19,868,354
1695;0123385;Artemisia (1997);Artemisia: Directed by Agnès Merlet. With Michel Serrault, Valentina Cervi, Predrag 'Miki' Manojlovic, Luca Zingaretti. Artemisia Gentileschi (1593-1653) was one of the first well-known female painters. The movie tells the story of her youth, when she was guided and protected by her father, the painter Orazio Gentileschi. Her professional curiosity about the male anatomy, forbidden for her eyes, led her to the knowledge of sexual pleasure. But she was also well known because in 1612 she had to appear in a courtroom because her teacher, Agostino Tassi, was suspected of raping her. She tried to protect him, but was put in the thumb screws...;Agnès Merlet;Patrick Amos, Agnès Merlet, Christine Miller;Valentina Cervi, Michel Serrault, Predrag 'Miki' Manojlovic;1 hour 38 minutes;Unknown Budget;$356,749
1696;0118698;Bent (1997);Bent: Directed by Sean Mathias. With Mick Jagger, Clive Owen, Brian Webber, Nikolaj Coster-Waldau. In 1930s Berlin, a gay Jew is sent to a concentration camp under the Nazi regime.;Sean Mathias;;Lothaire Bluteau, Clive Owen, Mick Jagger;1 hour 45 minutes;Unknown Budget;$496,059
1699;0118804;The Butcher Boy (1997);The Butcher Boy: Directed by Neil Jordan. With Eamonn Owens, Sean McGinley, Peter Gowen, Alan Boyle. The antisocial son of an alcoholic father and a bipolar mother grows up in 1960s Ireland.;Neil Jordan;Pat McCabe, Neil Jordan;Stephen Rea, Fiona Shaw, Eamonn Owens;1 hour 50 minutes;Unknown Budget;$1,995,911
1701;0118954;Deconstructing Harry (1997);Deconstructing Harry: Directed by Woody Allen. With Judy Davis, Julia Louis-Dreyfus, Stephanie Roth Haberle, Dan Frazer. Suffering from writer's block and eagerly awaiting his writing award, Harry Block remembers events from his past and scenes from his best-selling books as characters, real and fictional, come back to haunt him.;Woody Allen;;Woody Allen, Judy Davis, Julia Louis-Dreyfus;1 hour 36 minutes;$20,000,000 (estimated);$10,686,841
1702;0119137;Flabber (1997);Flabber: Directed by Les Mayfield. With Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine. An absent-minded professor discovers "flubber," a rubber-like super-bouncy substance.;Les Mayfield;;Robin Williams, Marcia Gay Harden, Christopher McDonald;1 hour 33 minutes;$80,000,000 (estimated);$177,977,226
1703;0119142;For Richer or Poorer (1997);For Richer or Poorer: Directed by Bryan Spicer. With Tim Allen, Kirstie Alley, Jay O. Sanders, Michael Lerner. An unhappily-married Manhattan socialite couple flee from the IRS and end up in Amish country, where they pretend to be visiting relatives.;Bryan Spicer;;Tim Allen, Kirstie Alley, Jay O. Sanders;1 hour 55 minutes;$35,000,000 (estimated);$32,748,995
1704;0119217;Zakovatli Uill Xanting (1997);Zakovatli Uill Xanting: Directed by Gus Van Sant. With Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton. Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.;Gus Van Sant;;Robin Williams, Matt Damon, Ben Affleck;2 hours 6 minutes;$10,000,000 (estimated);$225,933,435
1707;0119303;Uyda yolg'iz 3 (1997);Uyda yolg'iz 3: Directed by Raja Gosnell. With Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen. Alex Pruitt, an 8-year-old boy living in Chicago, must fend off four international criminals who are seeking a top-secret microchip in his toy car.;Raja Gosnell;;Alex D. Linz, Olek Krupa, Rya Kihlstedt;1 hour 42 minutes;$32,000,000 (estimated);$79,082,515
1711;0119668;Midnight in the Garden of Good and Evil (1997);Midnight in the Garden of Good and Evil: Directed by Clint Eastwood. With John Cusack, Kevin Spacey, Jack Thompson, Irma P. Hall. A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.;Clint Eastwood;;John Cusack, Kevin Spacey, Jack Thompson;2 hours 35 minutes;$35,000,000 (estimated);$25,105,255
1713;0119715;Sichqon ovi (1997);Sichqon ovi: Directed by Gore Verbinski. With Nathan Lane, Lee Evans, Vicki Lewis, Maury Chaykin. Two stumblebum inheritors are determined to rid their antique house of a mouse who is equally determined to stay where he is.;Gore Verbinski;;Nathan Lane, Lee Evans, Vicki Lewis;1 hour 38 minutes;$38,000,000 (estimated);$122,417,389
1717;0120082;Qichqiriq 2 (1997);Qichqiriq 2: Directed by Wes Craven. With Jada Pinkett Smith, Omar Epps, Paulette Patterson, Rasila Schroeder. Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.;Wes Craven;;Neve Campbell, Courteney Cox, David Arquette;2 hours;$24,000,000 (estimated);$172,363,301
1718;0120222;Stranger in the House (1997);Stranger in the House: Directed by Rodney Gibbons. With Michele Greene, Bruce Dinsmore, Steve Railsback, Kathleen Kinmont. A botched diamond burglary and a dead publishing company executive set off a string of murders and betrayal in this suspensful, nonstop thriller!;Rodney Gibbons;William Hoy, Peter Liapis, Steve Pesce;Michele Greene, Bruce Dinsmore, Steve Railsback;1 hour 34 minutes;Unknown Budget;Unknown Cumulative Worldwide Gross
1719;0120255;The Sweet Hereafter (1997);The Sweet Hereafter: Directed by Atom Egoyan. With Ian Holm, Caerthan Banks, Sarah Polley, Tom McCamus. A bus crash in a small town brings a lawyer to defend the families, but he discovers everything isn't what it seems.;Atom Egoyan;;Ian Holm, Sarah Polley, Caerthan Banks;1 hour 52 minutes;CA$5,000,000 (estimated);$3,263,585
1721;0120338;Titanik (1997);Titanik: Directed by James Cameron. With Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates. A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.;James Cameron;;Leonardo DiCaprio, Kate Winslet, Billy Zane;3 hours 14 minutes;$200,000,000 (estimated);$2,264,812,968
1722;0120347;Tomorrow Never Dies (1997);Tomorrow Never Dies: Directed by Roger Spottiswoode. With Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher. James Bond sets out to stop a media mogul's plan to induce a war between China and the United Kingdom.;Roger Spottiswoode;;Pierce Brosnan, Jonathan Pryce, Michelle Yeoh;1 hour 59 minutes;$110,000,000 (estimated);$333,011,068
1726;0119925;Pochtachi (1997);Pochtachi: Directed by Kevin Costner. With Kevin Costner, Will Patton, Larenz Tate, Olivia Williams. A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.;Kevin Costner;;Kevin Costner, Will Patton, Larenz Tate;2 hours 57 minutes;$80,000,000 (estimated);$17,626,234
1727;0119314;The Horse Whisperer (1998);The Horse Whisperer: Directed by Robert Redford. With Robert Redford, Kristin Scott Thomas, Sam Neill, Dianne Wiest. The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.;Robert Redford;;Robert Redford, Kristin Scott Thomas, Sam Neill;2 hours 49 minutes;$60,000,000 (estimated);$186,883,563
1729;0119396;Jeki Braun (1997);Jeki Braun: Directed by Quentin Tarantino. With Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda. A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the illegal arms dealer she works for, she must find a way to secure her future without getting killed.;Quentin Tarantino;;Pam Grier, Samuel L. Jackson, Robert Forster;2 hours 34 minutes;$12,000,000 (estimated);$39,693,845
1730;0119485;Kundun (1997);Kundun: Directed by Martin Scorsese. With Tenzin Thuthob Tsarong, Gyurme Tethong, Tulku Jamyang Kunga Tenzin, Tenzin Yeshi Paichang. From childhood to adulthood, Tibet's fourteenth Dalai Lama deals with Chinese oppression and other problems.;Martin Scorsese;;Tenzin Thuthob Tsarong, Gyurme Tethong, Tulku Jamyang Kunga Tenzin;2 hours 14 minutes;$28,000,000 (estimated);$5,684,960
1731;0119718;Mr. Magoo (1997);Mr. Magoo: Directed by Stanley Tong. With Leslie Nielsen, Kelly Lynch, Matt Keeslar, Nick Chinlund. The myopic millionaire defeats jewel smugglers in his usual bumbling manner.;Stanley Tong;;Leslie Nielsen, Kelly Lynch, Matt Keeslar;1 hour 27 minutes;$30,000,000 (estimated);$21,437,192
1732;0118715;Katta Lebovski (1998);Katta Lebovski: Directed by Joel Coen, Ethan Coen. With Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi. Jeff "The Dude" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.;;;Jeff Bridges, John Goodman, Julianne Moore;1 hour 57 minutes;$15,000,000 (estimated);$48,254,463
1733;0118566;Afterglow (1997);Afterglow: Directed by Alan Rudolph. With Nick Nolte, Julie Christie, Lara Flynn Boyle, Jonny Lee Miller. A handyman with marital problems meets a housewife with the same.;Alan Rudolph;;Nick Nolte, Julie Christie, Lara Flynn Boyle;1 hour 59 minutes;Unknown Budget;$2,465,960
1734;0119590;Ma vie en rose (1997);Ma vie en rose: Directed by Alain Berliner. With Michèle Laroque, Jean-Philippe Écoffey, Hélène Vincent, Georges Du Fresne. Ludovic is an innocent seven-year-old child who provokes horror in his community when he dresses in girls clothes and insists he's a girl.;Alain Berliner;Chris Vander Stappen, Alain Berliner;Georges Du Fresne, Michèle Laroque, Jean-Philippe Écoffey;1 hour 28 minutes;Unknown Budget;$2,162,043
